Order,Family,Genus,Apomixis_Yes_Uncertain,Apospory,Diplospory,Apospory_and_Diplospory,Adventitious_Embryony
Asterales,Asteraceae,Minuria,Y,Y,,,
Asterales,Asteraceae,Parthenium,Y,Y,Y,Y,
Asterales,Asteraceae,Petasites,U,,,,
Asterales,Asteraceae,Picris,U,,,,
Asterales,Asteraceae,Pilosella,Y,Y,,,
Asterales,Asteraceae,Praxelis,Y,,Y,,
Asterales,Asteraceae,Rudbeckia,Y,,Y,,
Asterales,Asteraceae,Solidago,U,,,,
Asterales,Asteraceae,Stevia,U,,,,
Asterales,Asteraceae,Taraxacum,Y,,Y,,
Asterales,Asteraceae,Townsendia,Y,,Y,,
Asterales,Asteraceae,Tridax,U,,,,
Asterales,Asteraceae,Trithonia,U,,,,
Brassicales,Brassicaceae,Iberis,Y,Y,Y,,
Caryophyllales,Amaranthaceae,Aerva,Y,,Y,,
Caryophyllales,Plumbaginaceae,Limonium,Y,,Y,,
Caryophyllales,Polygonaceae,Rumex,U,,,,
Cucurbitales,Cucurbitaceae,Bryonia,U,,,,
Cucurbitales,Cucurbitaceae,Luffa,Y,,Y,,
Cucurbitales,Cucurbitaceae,Marah,Y,Y,,,
Dioscoreales,Burmanniaceae,Burmannia,Y,,Y,,
Dioscoreales,Dioscoreaceae,Tacca,Y,Y,,,
Ericales,Cyrillaceae,Cliftonia,Y,Y,,,
Fabales,Fabaceae,Trifolium,Y,Y,,,
Fagales,Casuarinaceae,Casuarina,Y,,Y,,
Fagales,Juglandaceae,Juglans,Y,Y,,,
Gentianales,Rubiaceae,Coprosma,Y,,,,
Lamiales,Orobanchaceae,Cistanche,Y,,Y,,
Lamiales,Orobanchaceae,Orobanche,Y,,Y,,
Lamiales,Plantaginaceae,Globularia,Y,Y,,,
Laurales,Lauraceae,Lindera,Y,Y,,,
Liliales,Liliaceae,Lilium,Y,,Y,,
Magnoliales,Magnoliaceae,Woonyoungia,Y,Y,,,
Malpighiales,Erythroxylaceae,Erythroxylum,Y,Y,,,
Malpighiales,Euphorbiaceae,Manihot,Y,Y,,,
Malpighiales,Hypericaceae,Hypericum,Y,Y,,,
Malvales,Dipterocarpaceae,Stemonoporus,Y,,,,
Malvales,Thymelaeaceae,Wikstroemia,Y,,Y,,
Myrtales,Melastomataceae,Aciotis,Y,,,,
Myrtales,Melastomataceae,Clidemia,Y,,,,
Myrtales,Melastomataceae,Comolia,Y,,,,
Myrtales,Melastomataceae,Henriettea,Y,,,,
Myrtales,Melastomataceae,Leandra,Y,,,,
Myrtales,Melastomataceae,Macairea,Y,,,,
Myrtales,Melastomataceae,Maieta,Y,,,,
Myrtales,Melastomataceae,Meriania,Y,,,,
Myrtales,Melastomataceae,Miconia,Y,,,,
Myrtales,Melastomataceae,Microlicia,Y,,,,
Myrtales,Melastomataceae,Ossaea,Y,,,,
Myrtales,Melastomataceae,Pterolepis,Y,,,,
Myrtales,Melastomataceae,Rhexia,Y,Y,,,
Myrtales,Melastomataceae,Sandemania,Y,,,,
Myrtales,Melastomataceae,Tibouchina,Y,,,,
Nymphaeales,Hydatellaceae,Trithuria,U,,,,
Piperales,Saururaceae,Houttuynia,Y,,Y,,
Poales,Poaceae,Anthephora,Y,Y,,,
Poales,Poaceae,Anthoxanthum,Y,Y,,,
Poales,Poaceae,Apluda,Y,Y,,,
Poales,Poaceae,Arundinella,Y,Y,,,
Poales,Poaceae,Bouteloua,Y,Y,,,
Poales,Poaceae,Brachiaria,Y,Y,,,
Poales,Poaceae,Buchloe,Y,Y,,,
Poales,Poaceae,Calamagrostis,Y,,Y,,
Poales,Poaceae,Capillipedium,Y,Y,,,
Poales,Poaceae,Chionachne,Y,Y,,,
Poales,Poaceae,Chloris,Y,Y,,,
Poales,Poaceae,Coix,Y,,,,
Poales,Poaceae,Cortaderia,Y,Y,,,
Poales,Poaceae,Dactylis,Y,Y,,,
Poales,Poaceae,Danthonia,Y,Y,,,
Poales,Poaceae,Dichanthium,Y,Y,Y,,
Poales,Poaceae,Echinochloa,Y,Y,,,
Poales,Poaceae,Elymus,Y,,Y,,
Poales,Poaceae,Eragrostiella,Y,Y,,,
Poales,Poaceae,Eragrostis,Y,,Y,,
Poales,Poaceae,Eremopogon,Y,Y,,,
Poales,Poaceae,Eriochloa,Y,Y,,,
Poales,Poaceae,Eustachys,Y,Y,,,
Poales,Poaceae,Festuca,Y,,,,
Poales,Poaceae,Fingerhuthia,Y,Y,,,
Poales,Poaceae,Harpochloa,Y,Y,,,
Poales,Poaceae,Heteropogon,Y,Y,,,
Poales,Poaceae,Hilaria,Y,Y,,,
Poales,Poaceae,Hyparrhenia,Y,Y,,,
Poales,Poaceae,Ischaemum,Y,Y,,,
Poales,Poaceae,Lamprothyrsus,Y,Y,,,
Poales,Poaceae,Merxmuellera,Y,Y,,,
Poales,Poaceae,Nardus,Y,Y,Y,,
Poales,Poaceae,Panicum,Y,Y,,,
Poales,Poaceae,Paspalum,Y,Y,Y,Y,
Poales,Poaceae,Pentaschistis,Y,Y,,,
Poales,Poaceae,Phleum,Y,,Y,,
Poales,Poaceae,Potamophila,Y,,Y,,
Poales,Poaceae,Rendlia,Y,Y,,,
Poales,Poaceae,Rhynchelytrum,Y,Y,,,
Poales,Poaceae,Saccharum,Y,,Y,,
Poales,Poaceae,Schima,Y,Y,,,
Poales,Poaceae,Schizachyrium,Y,Y,,,
Poales,Poaceae,Schmidtia,Y,Y,,,
Poales,Poaceae,Setaria,Y,Y,,,
Poales,Poaceae,Themeda,Y,Y,,,
Poales,Poaceae,Thrasya,Y,Y,,,
Poales,Poaceae,Thyrsostachys,Y,Y,,,
Poales,Poaceae,Trachys,Y,Y,,,
Poales,Poaceae,Tribolium,Y,Y,,,
Poales,Poaceae,Tricholaena,Y,Y,,,
